phase,TrialID,ParticipantID,Truth,Image,provider,provider_kind,model,assigned_condition,raw,confidence,pred,correct,latency_s
1,1,1,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_001_combined.png,P1,OpenAI,gpt-4o-mini,equal,4,4,0,0,0.0
1,1,2,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_001_combined.png,P2,OpenAI,gpt-4o-mini,equal,10,10,1,1,0.0
1,1,3,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_001_combined.png,P3,Gemini,gemini-2.0-flash-thinking-exp-01-21,equal,5,5,0,0,0.0
1,2,1,0,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/absent/combined/equal_absent_002_combined.png,P1,OpenAI,gpt-4o-mini,equal,4,4,0,1,0.0
1,2,2,0,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/absent/combined/equal_absent_002_combined.png,P2,OpenAI,gpt-4o-mini,equal,9,9,1,0,0.0
1,2,3,0,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/absent/combined/equal_absent_002_combined.png,P3,Gemini,gemini-2.0-flash-thinking-exp-01-21,equal,1,1,0,1,0.0
1,3,1,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_003_combined.png,P1,OpenAI,gpt-4o-mini,equal,3,3,0,0,0.0
1,3,2,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_003_combined.png,P2,OpenAI,gpt-4o-mini,equal,7,7,1,1,0.0
1,3,3,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_003_combined.png,P3,Gemini,gemini-2.0-flash-thinking-exp-01-21,equal,10,10,1,1,0.0
1,4,1,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_004_combined.png,P1,OpenAI,gpt-4o-mini,equal,10,10,1,1,0.0
1,4,2,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_004_combined.png,P2,OpenAI,gpt-4o-mini,equal,2,2,0,0,0.0
1,4,3,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_004_combined.png,P3,Gemini,gemini-2.0-flash-thinking-exp-01-21,equal,4,4,0,0,0.0
1,5,1,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_005_combined.png,P1,OpenAI,gpt-4o-mini,equal,10,10,1,1,0.0
1,5,2,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_005_combined.png,P2,OpenAI,gpt-4o-mini,equal,9,9,1,1,0.0
1,5,3,1,/workspaces/Honors_Project/perceptual_dataset_calibrated/equal/present/combined/equal_present_005_combined.png,P3,Gemini,gemini-2.0-flash-thinking-exp-01-21,equal,1,1,0,0,0.0
